1,7,3,3.302401376309,0.0,52.3,53.5,30.0,0.6554069710083307,0
2,1,2,3.1110691457009993,0.0,51.5,52.3,29.0,0.6879150167916982,0
3,2,2,2.9203636795920005,0.0,52.3,50.4,30.0,0.7346332791245382,0
4,1,2,2.6999459489700004,0.0,52.3,54.3,29.0,0.7858047722459758,0
5,2,0,3.022693729344,0.0,55.0,54.6,31.0,0.7166846978912952,0
6,1,0,2.945160841228,0.0,53.5,52.3,29.0,0.7241292621318537,0
7,2,0,2.7965826237569997,0.0,53.9,54.6,30.0,0.764945627607265,[5.614144325256348, 6.559056282043457, 3.777604103088379]
8,2,2,2.973994151106,0.0,54.6,53.5,31.0,0.727519498926431,[0.912646472454071, 7.599249839782715, 3.2182352542877197]
9,1,2,3.107868875436,0.0,52.3,53.1,29.0,0.6885769959268103,[4.4561448097229, 3.187758445739746, 2.598217010498047, 4.290202617645264]
10,1,1,2.85977538086,0.0,51.9,53.5,30.0,0.7491426937731551,[4.338259696960449, 2.174929618835449, 4.19789981842041, 1.7562814950942993]
11,2,0,3.312169189848,0.0,55.8,54.3,31.0,0.6588571081712178,[2.1848368644714355, 2.349968671798706, 4.025618076324463, 1.6880754232406616]
12,0,1,3.263531601158,0.0,53.1,53.1,27.0,0.6497162097686985,[3.597360134124756, 1.7127294540405273, 1.5170663595199585, 7.412508487701416]
13,0,0,2.6669626103120003,0.0,54.6,53.1,27.0,0.7867999424871965,[4.913490295410156, 3.7618749141693115, 3.7065515518188477, 2.679800033569336]
14,1,0,3.1828516767810004,0.0,52.7,53.5,31.0,0.6833905469381657,[2.275287389755249, 4.0254974365234375, 1.9197027683258057, 0.7081337571144104]
15,2,0,2.84561753688,0.0,54.3,55.4,30.0,0.7526222083961496,[2.65240740776062, 1.6366286277770996, 0.6394206285476685, 4.661167144775391]
16,1,2,3.000721733406,0.0,52.3,53.5,28.0,0.7072685240195382,[9.663688659667969, 1.7844972610473633, 1.2110905647277832, 4.103776931762695]
17,0,2,3.048074006383,0.0,51.9,51.9,28.0,0.6969142514062768,[4.143558502197266, 3.2487382888793945, 3.864320993423462, 1.166391134262085]
18,1,2,3.0520432849229997,0.0,52.7,54.3,30.0,0.7050857693659588,[3.312394618988037, 1.4795689582824707, 1.330224871635437, 4.484315872192383]
19,0,2,2.9109868168479998,0.0,53.1,52.3,27.0,0.7239354028921546,[7.719881057739258, 2.02654767036438, 1.0010583400726318, 2.7198715209960938]
20,2,2,2.863757337903,0.0,52.3,52.7,31.0,0.7534064152835942,[0.3652489185333252, 1.3279308080673218, 1.6322101354599, 0.595984697341919]
21,1,2,3.2603466376220003,0.0,55.0,53.5,29.0,0.6584809083727541,[1.2774280309677124, 3.7376620769500732, 4.37026834487915, 4.015097141265869]
22,1,0,3.1663993372,0.0,52.7,53.9,31.0,0.6866554897146526,[4.411026954650879, 1.5597201585769653, 1.249594807624817, 0.10904920101165771]
23,1,1,2.9822492672280005,0.0,53.5,53.1,28.0,0.7113969567396601,[4.380743026733398, 0.8655299544334412, 5.501039028167725, 3.9962158203125]
